,instead,and,when,while,thus,however,much as,before,but,also,because,whereas,in turn,although,then,thereafter,as,yet,after,nevertheless,once,in particular,additionally,previously,furthermore,finally,in contrast,for instance,moreover,in addition,overall,by comparison,as a result,for example
count,5,25,11,10,7,8,1,1,6,12,3,2,1,4,3,1,3,1,1,1,1,1,1,1,6,4,2,1,2,3,1,1,1,1
sense,Expansion.Alternative.Chosen alternative,Expansion.Conjunction,Temporal.Synchrony,Comparison.Contrast,Contingency.Cause.Result,Comparison.Contrast,Expansion.Restatement,Temporal.Asynchronous.Precedence,Comparison.Contrast,Expansion.Conjunction,Contingency.Cause.Reason,Comparison.Contrast,Expansion.Conjunction,Comparison.Concession,Temporal.Asynchronous.Precedence,Temporal.Asynchronous.Precedence,Temporal.Synchrony,Comparison.Contrast,Temporal.Asynchronous.Succession,Comparison.Concession,Temporal.Asynchronous.Succession,Expansion.Restatement,Expansion.Conjunction,Temporal.Asynchronous.Succession,Expansion.Conjunction,Expansion.Conjunction,Comparison.Contrast,Expansion.Instantiation,Expansion.Conjunction,Expansion.Conjunction,Expansion.Restatement,Comparison.Contrast,Contingency.Cause.Result,Expansion.Instantiation
